Ligand_short,Ligand_full
(+)-alpha-thujene,(+)-alpha-thujene
(-)-Isoledene,(-)-Isoledene
(-)-Sabinene,(-)-Sabinene
"(1s,3e,7e,11s)-...","(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene"
"(2S)-3',4'-Meth...","(2S)-3',4'-Methylenedioxy-5,7-dimethoxyflavan"
"(3s,4r)-3-isopr...","(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene"
(S)-(+)-2-Heptanol,(S)-(+)-2-Heptanol
Aerugidiol,Aerugidiol
Curcumenone,Curcumenone
Curdione,Curdione
Curzerenone,Curzerenone
Eucalyptol,Eucalyptol
Furanodiene,Furanodiene
Nonan-2-one,Nonan-2-one
Undecan-2-one,Undecan-2-one
